,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
3431,남,32,15.0,24.0,"1,814","1,572",830.0,90.7,382.0,446.0,"1,078","1,040",911,931,934,"1,048","1,608",485.0,455.0,373.0,641.0,542.0,"1,118",561.0,651.0,570.0,393.0,418.0,335.0,295.0
3432,남,36,19.0,15.0,"1,804","1,546",807.0,81.1,384.0,440.0,990,965,862,880,887,"1,010","1,560",432.0,425.0,362.0,617.0,515.0,"1,080",559.0,599.0,538.0,388.0,408.0,330.0,310.0
3433,남,37,15.0,12.0,"1,683","1,446",748.0,76.3,380.0,448.0,976,955,875,890,890,990,"1,473",413.0,409.0,330.0,575.0,495.0,"1,024",568.0,591.0,552.0,377.0,412.0,304.0,288.0
3434,남,38,19.0,20.0,"1,713","1,474",794.0,78.0,380.0,438.0,"1,027","1,000",880,900,903,"1,005","1,490",446.0,435.0,350.0,605.0,495.0,"1,055",550.0,602.0,535.0,372.0,399.0,330.0,289.0
3435,남,35,22.0,19.0,"1,673","1,418",719.0,66.0,362.0,420.0,935,885,810,822,826,940,"1,428",448.0,432.0,325.0,560.0,465.0,990,561.0,575.0,496.0,358.0,348.0,310.0,289.0
3436,남,35,17.0,17.0,"1,755","1,503",787.0,73.6,374.0,428.0,940,916,830,822,822,960,"1,525",441.0,440.0,345.0,590.0,498.0,"1,056",544.0,581.0,540.0,388.0,400.0,313.0,301.0
3437,남,35,14.0,16.0,"1,705","1,459",793.0,59.5,353.0,411.0,924,865,748,751,759,905,"1,485",425.0,409.0,344.0,590.0,501.0,"1,027",549.0,533.0,483.0,345.0,346.0,274.0,265.0
3438,남,38,25.0,25.0,"1,753","1,500",785.0,85.4,408.0,465.0,"1,087","1,027",872,981,984,"1,015","1,534",443.0,443.0,352.0,610.0,493.0,"1,067",589.0,635.0,576.0,377.0,413.0,364.0,311.0
3439,남,40,16.0,16.0,"1,671","1,424",724.0,74.9,390.0,437.0,998,936,865,875,877,978,"1,446",445.0,435.0,340.0,585.0,493.0,983,568.0,595.0,547.0,378.0,380.0,343.0,288.0
3440,남,34,20.0,14.0,"1,667","1,426",760.0,67.3,370.0,435.0,953,920,780,828,840,952,"1,453",414.0,401.0,341.0,581.0,497.0,994,537.0,589.0,528.0,359.0,382.0,300.0,274.0
